1 - | Kصحيح
3714 - | Kصحيح
3715 - | Zفي الزوائد في إسناده ابن أبي ليلى واسمه محمد بن عبد الرحمن وهو ضعيف اه -.Kصحيح
3716 - | Zفي الزوائد مدار الحديث على زيد العمي وهو ضعيفS [3716 - ش - (جليسا له) مفعول متقدما. أي لم يقدم في المجلس ركبته على ركبة جليسه.]Kضعيف إلا جملة المصافحة فهي ثابتة
3717 - | Kصحيح
3718 - | Zفي الزوائد رجاله ثقات إلا أنه مرسل. قال أبو حاتم جوذان هذا ليست له صحبة وهو مجهولS [3718 - ش - (مكس) المكس هو أخذ العشر. والماكس هو العشار.]Kضعيف
3719 - | Zفي الزوائد في إسناده زمعة بن صالح وهو وإن أخرج له مسلم فإنما روى له مقرونا بغيره. وقد ضعفه أحمد وابن معين وغيرهماS [3719 - ش - (مزاحا) أي كثير المزح(بعشر قلائص) أي بعشر نوق. (حولا) أي عاما.]Kضعيف
3720 - | S [3720 - ش - (النغير) اسم طائر. أي ماصنع وما جرى له.]Kصحيح
3721 - | Kحسن صحيح
3722 - | Zفي الزوائد إسناد حديث ابن بريدة حسن.Kصحيح
3723 - | S [3723 - ش - (على بطني) أي على وجهي.]Kصحيح
3724 - | Zفي الزوائد في إسناده محمد بن نعيم. لم أر من جرحه ولا من وثقه. ويعقوب بن حميد مختلف فيه. وباقي رجال الإسناد ثقاتS [3724 - ش - (ضجعة) بالكسر كالجلسة للهيئة.]Kصحيح
3725 - | Zفي الزوائد الوليد بن جميل. لينه أبو زرعة. وقال أبو حاتم شيخ روى عن القاسم أحاديث منكرة وقال أبو داود ليس به بأس. وذكره ابن حيان في الثقات. وسلمة بن رجاء ويعقوب بن حميد مختلف فيهما.Kضعيف
3726 - | S [3726 - ش - (من اقتبس) تعلم. (شعبة) أي قطعة. (زاد مازاد) أي زاد من السحر مازاد من النجوم ويحتمل أنه من كلام الراوي. أي زاد رسول الله صلى الله عليه وسلم في تقبيح النجوم مازاد.]Kحسن
3727 - | S [3727 - ش - (من روح الله) أي من رحمته بعباده.]Kصحيح
3728 - | S [3728 - ش - (أحب الأسماء إلى الله عز وجل عبد الله وعبد الرحمن) أي وأمثالهما. مما فيه إضافة العبد إلى الله تعالى. لما فيه من الاعتراف بالعبودية وتعظيمه تعالى بالربوبية. ولا شك أن وصف العبد بالعبودية وتعظيمه تعالى بالربوبية يتضمن الإشعار بالذل في حضرته ولذلك ذكرهم الله تعالى في مواضع الرحمة باسم العباد. فقال ياعبادي الذين أسرفوا على أنفسهم ... الآية. وقد ذكر الله تعالى نبيه صلى الله عليه وسلم في أشرف المواضع في كتابه باسم عبد الله. فقال وأنه لما قام عبد الله. وقال أنزل الفرقان على عبده.]Kصحيح
3729 - | S [3729 - ش - (أن يسمى رباح ونجيح الخ) رباح ضد الخسارة. والنجاح والفلاح هو الظفر بالمطلوب. واليسار من اليسر ضد العسر.]Kصحيح
3730 - | S [3730 - ش - (شيطان) أي فلا ينبغي تسمية الإنسان باسمه.]Kصحيح
3731 - | Kضعيف
3732 - | S [3732 - ش - (برة) من البر فعل الخير ففي هذا الاسم تزكيه بأنها فاعلة الخيرات.]Kصحيح
3733 - | Kصحيح
3734 - | Zابن أخي عبد الله بن سلام لم يسم. وباقي رجال الإسناد ثقاتKمنكر ضعيف
3735 - | Kصحيح
3736 - | Kصحيح
3737 - | S [3737 - ش - (تسموا) أصلها تتسموا بالتائين.]Kصحيح
3738 - | Zفي الزوائد إسناده حسن. لأن عبد الله بن محمد مختلف فيه.Kحسن
3739 - | Kصحيح
3740 - | Kصحيح
3741 - | S [3741 - ش - (ولا تنابزوا بالألقاب) أي لا يدعو بعضكم بعضا بسوء الألقاب. والنبز مختص بالسوء عرفا.]Kصحيح
3742 - | S [3742 - ش - (أن نحثو في وجوه المداحين التراب) هم الذين عادتهم مدح الناس لتحصيل المال والجاه لديهموأما المدح على الفعل الحسن تحريضا على الإسداء فليس منه.]Kصحيح
3743 - | Zفي الزوائد إسناد حديث معاوية بن سفيان حسن. لأن معبدا الجهني مختلف فيه. وباقي رجال الإسناد ثقات.Kحسن
3744 - | Kصحيح
3745 - | S [3745 - ش - (مؤتمن) أي أمين. فلا ينبغي له أن يخون المستشير بكتمان المصلحة والدلالة على المفسدة.]Kصحيح
3746 - | Zفي الزوائد إسناد حديث أبي مسعود صحيح. رجاله ثقات.Kصحيح
3747 - | Zفي الزوائد في إسناده ابن أبي ليلى. واسمه محمد بن عبد الرحمن بن أبي ليلى وأبوه عبد الرحمن الأنصاري القاضي وهو ضعيفS [3747 - ش - (فليشر عليه) أي بما فيه المصلحة إذا ظهر له ذلك.]Kضعيف
3748 - | S [3748 - ش - (إلا بإزار) أي ليأمنوا بذلك عن كشف العورة ونظر بعض إلى عورة الآخر.]Kضعيف
3749 - | S [3749 - ش - (في الميازر) جمع مئزر. بمعنى الإزار.]Kضعيف
3750 - | S [3750 - ش - (فقد هتكت) الهتك خرق الستر عما وراءه.]Kصحيح
3751 - | Zفي الزوائد هذا حديث رجاله ثقات. وهو منقطع. وحبيب بن أبي ثابت لم يسمع من أم سلمة قاله أبو زرعةS [3751 - ش - (اطلى) افتعل من طلى. يقال طليته بنورة أو غيره لطخته واطليت إذا فعلته بنفسك (وسائر جسده أهله) أي وطلى سائر جسده أهله. فهو من عطف معمولي عامل واحد.]Kضعيف
3752 - | Zفي الزوائد هذا حديث رجاله ثقات. وهو منقطع. وحبيب بن أبي ثابت لم يسمع من أم سلمة قاله أبو زرعة.Kضعيف
3753 - | Zفي الزوائد في إسناده عبد الله بن عامر الأسلمي وهو ضعيف.Kصحيح
3754 - | Kضعيف
3755 - | S [3755 - ش - (إن من الشعر حكمة) من تبعيضية. يريد أن الشعر لادخل له في الحسن والقبح ولا يعتبر به حال المعاني في الحسن والقبح. والمدار إنما هو على المعاني لاعلى كون الكلام نثرا أو نظما فإنهما كيفيتان لأداء المعنى وطريقتان إليه. ولكن المعنى إن كان حسنا وحكمة فذلك الشعر حكمة وإذا كان قبيحا فذلك الشعر كذلك.]Kصحيح
3756 - | Kحسن صحيح
3757 - | S [3757 - ش - (أصدق كلمة) أريد بالكلمة معناها اللغوي.]Kصحيح
3758 - | S [3758 - ش - (هيه) أي زد.]Kصحيح
3759 - | S [3759 - ش - (قيحا) القيح صديد يسيل من الجرح. (يريه) قال في النهاية هو من الورى الداء يقال ورى يورى فهو موري إذا أصاب جوفه الداء. قال الأزهري الورى مثل الرمى داء بداخل الجوف(من أن يمتلئ شعرا) قال النووي قالوا المراد منه أن يكون الشعر غالبا عليه مستوليا بحيث يشغله عن القرآن أو غيره من العلوم الشرعية.]Kصحيح
3760 - | Kصحيح
3761 - | Zفي الزوائد إسناده صحيح. رجاله ثقات. وعبيد الله هو ابن موسى القيسي أبو محمد. وشيبان هو ابن عبد الرحمن النحوي أبو معاوية المؤدب. والأعمش هو سليمان بن مهران. وفي الإسناد أربعة من التابعين يروي بعضهم عن بعضS [3761 - ش - (ورجل انتفى من أبيه) أي بأن نسب نفسه إلى غير أبيه. (وزني) من التزنية أي نسبها إلى الزنا. لأن كونه ابنا للغير لا يكون إلا كذلك.]Kصحيح
3762 - | S [3762 - ش - (بالنرد) قال في المعرب النرد والنرد شير أعجمي معرب.]Kحسن
3763 - | S [3763 - ش - (النردشير) قال في المعرب النردشير أعجمي معرب.]Kصحيح
3764 - | Zفي الزوائد حديث عائشة هذا إسناده صحيح. رجاله ثقات.Kحسن
3765 - | Zرواه أبو داود وابن حبان في صحيحه من طريق حماد بن سلمة عن محمد بن عمرو عن أبي أمامة عن أبي هريرة.Kحسن
3766 - | Zفي الزوائد رجال الإسناد ثقات غير أنه منقطع. فإن الحسن لم يسمع من عثمان بن عفان قاله أبو زرعة.Kحسن لغيره
3767 - | Zفي الزوائد في إسناده رواد بن الجراح وهو ضعيف.Kحسن لغيره
3768 - | S [3768 - ش - (ما في الوحدة) أي ما في السير بلا رقيق من الآفات. سيما في الليل.]Kصحيح
3769 - | Kصحيح
3770 - | Kصحيح
3771 - | Kصحيح
3772 - | S [ش - (جواد الطريق) جمع جادة. وهي معظم الطريق. (ولا تقضوا عليها الحاجات) يريد الحاجات الإنسانية. فإن ذلك يؤدي إلى أن من المار على من قضى حاجة في ذلك المكان.]Kصحيح
3773 - | Kصحيح
3774 - | Zفي الزوائد قلت وروى الترمذي عن محمد بن غيلان حدثنا شبابة عن حمزة عن أبي الزبير به بلفظ إذا كتب أحدكم فليتربه فإنه أنجح للحاجة. قال الترمذي هذا حديث منكر لانعرفه عن أبي الزبير إلا من هذا الوجه. قال وحمزة عندي هو ابن عمرو النصيبي وهو ضعيف في الحديث. اه - كلام الزوائدقال السندي قلت قال السيوطي هذا أحد الأحاديث التي انتقدها الحافظ سراج الدين القزويني على المصابيح ورغم أنه موضوعS [3774 - ش - (تربوا صحفكم) من التتريب. قيل اجعلوا عليها التراب.]Kضعيف
3775 - | Kصحيح
3776 - | Kصحيح
3777 - | S [3777 - ش - (بنصالها) النصال والنصول جمع نصل. ونصل السهم حديدته كنصل السيف والرمح.]Kصحيح
3778 - | S [3778 - ش - (أن تصيب أحدا) أي خوفا من أن تصيب. أو كراهة أن تصيب. قيل بتقدير لا. أي لئلا تصيب.]Kصحيح
3779 - | S [3779 - ش - (الماهر بالقرآن) أي الحاذق بقرائته. (السفرة) هم الملائكة. جمع سافر. وهو الكاتب. لأنه يبين الشيء. ولعل المراد بهم الملائكة الذين قال تعالى فيهم بأيدي سفرة كرام بررة -(يتتعتع) أي يتردد في قراءته.]Kصحيح
3780 - | Zفي الزوائد في إسناده عطية العوفي وهو ضعيفS [3780 - ش - (اقرأ واصعد) أي ارتفع في درجات الجنة.]Kصحيح
3781 - | Zفي الزوائد إسناده صحيح رجاله ثقاتS [3781 - ش - (كالرجل الشاحب) قال السيوطي هو المتغير اللون والجسم لعارض من العوارض كمرض أو سفر ونحوهما وكأنه يجيء على هذه الهيئة ليكون أشبه بصاحبه في الدنيا. أو للتنبيه له على أنه كما تغير لونه في الدنيا لأجل القيام بالقرآن كذلك القرآن لأجله في السعي يوم القيامة. حتى ينال صاحبه الغاية القصوى في الآخرة. (فيقول) أي لصاحبه.]Kضعيف يحتمل التحسين
3782 - | S [3782 - ش - (خلفات جمع خلفة. وهي الحامل من النوق. وهي من أعز أموال العرب.]Kصحيح
3783 - | S [3783 - ش - (مثل الإبل المعقلة) أي المشدودة بالعقل. والعقل جمع عقال كالكتب جمع كتاب والعقال هو الحبل الذي يشد به ذراع البعير. (إن تعاهدها) أي حافظ عليها أي على الإبلأمسكها عليه) أي أبقاها على نفسه. يريد أن القرآن في سرعة الذهاب والخروج من صدور الرجال كالإبل المطلقة من العقل إذا لم يعاهد عليه صاحبه.]Kصحيح
3784 - | S [3784 - ش - (قسمت الصلاة) يريد قسمت الفاتحة. وتسميتها صلاة للزومها فيها.]Kصحيح
3785 - | S [3785 - ش - (القرآن العظيم) عطف على السبع المثاني. وإطلاق اسم القرآن على بعضه سائغ.]Kصحيح
3786 - | Kصحيح
3787 - | S [3787 - ش - (تعدل ثلث القرآن) أي تساويه أجرا.]Kصحيح
3788 - | S [3788 - ش - (تعدل ثلث القرآن) أي تساويه أجرا.]Kصحيح
3789 - | Zفي الزوائد هذا غسناده صحيح رجاله ثقات. وأبو قيس هو عبد الرحمن بن ثروانS [3789 - ش - (الواحد الصمد) أي السورة التي مضمونها هذا المذكور.]Kصحيح
3790 - | S [3790 - ش - (والورق) الفضة. (ذكر الله) إطلاقه يشمل القليل والكثير مع المداومة وعدمها.]Kصحيح
3791 - | S [3791 - ش - (حفتهم الملائكة) أي أحاطهم. (وتغشتهم الرحمة) أي غطتهم الرحمة من كل جانب. إذ الغشيان يشمل المغشي من جميع جوانبه. (والسكينة) الطمأنينة. قال الله تعالى ألا بذكر الله تطمئن القلوب وقيل السكينة هي الرحمة والعطف. وقيل الأظهر أنها الملائكة. وقيل هي ما يحصل به السكون وصفاء القلب وذهاب الظلمة النفسانية.]Kصحيح
3792 - | Zفي الزوائد في إسناده محمد ين مصعب القرقساني قال فيه صالح بن محمد ضعيف. لكن رواه ابن حبان في صحيحه من طريق أيوب بن سويد عن الأوزاعي أيضا. وأيوب بن سويد ضعيفS [3792 - ش - (أنا مع عبدي) أي عونا ونصرا وتأييدا وتوفيقا وتحصيلا لمرامه.]Kصحيح
3793 - | S [3793 - ش - (بشيء أتشبث به) أي ليسهل علي أداؤها. أو ليحصل به فضل مافات منها من غير الفرائض ولم يرد الاكتفاء به عن الفرائض والواجبات.]Kصحيح
3794 - | Kصحيح
3795 - | Zفي الزوائد اختلف على الشعبي. فقيل عنه هكذا. وقيل عنه عن أبي طلحة عن أبيه. وقيل عنه عن يحيى عن أمه سعدى عن طلحة. وقيل عنه عن طلحة مرسلاS [3795 - ش - (إمرة ابن عمك) أي إمارته. أي أما رضيت بخلافة أبي بكر رضي الله عنه(روحا) أي رحمة ورضوانا.]Kصحيح
3796 - | Zفي الزوائد الحديث رواه النسائي في عمل اليوم والليلة من طرقS [3796 - ش - (يرجع ذلك إلى قلب موقن) أي يكون ناشئا عن قلب موقن ويكون أصله ذلك. تفرع عن أصل يرجع إليه.]Kحسن صحيح
3797 - | Zفي الزوائد في إسناده زكريا بن منظور وهو ضعيفS [3797 - ش - (لا يسبقها عمل) أي في الفضل. أي هي أفضل الأعمال البدنية. وأما التصديق فهو من عمل القلب.]Kضعيف
3798 - | S [3798 - ش - (سائر يومه) أي بقية يومه أو كله.]Kصحيح
3799 - | Zفي الزوائد في إسناده عطية العوفي وهو ضعيف. وكذلك الراوي عنهS [3799 - ش - (كعتاق) مصدر عتق العبد يعتق عتقا وعتاقا وعتاقة.]Kضعيف
3800 - | S [3800 - ش - (وأفضل الدعاء الحمد لله) يحتمل أن المراد به سورة الفاتحة بتمامها.]Kحسن
3801 - | Zفي الزوائد في إسناده قدامة بن إبراهيم ذكره ابن حيان في الثقات. وصدقة بن بشير لم أر من جرحه ولا من وثقه. وباقي رجال الإسناد ثقاتS [3801 - ش - (فعضلت بالملكين) الظاهر أن ضمير عضلت لهذه الكلمة. والباء في الملكين للتعدية. يقال أعضلني فلان أي أعياني أمره. وقوله فلم يدريا كيف يكتبانها تفسير له.]Kضعيف
3802 - | S [3802 - ش - (نهنهها شيء دون العرش) من نهنهت الشيء إذا منعته وزجرته. والمراد أنه ما منعها ما نع من الحضور في محل الإجابة. والمراد سرعة حضورها في ذلك المحل.]Kضعيف لكن صح نحوه من حديث ابن عمر وأنس دون قوله فما نهنها ... م
3803 - | Zفي الزوائد إسناده صحيح ورجاله ثقات.Kحسن
3804 - | Zفي الزوائد في إسناده موسى بن عبيدة وهو ضعيف. وشيخه محمد بن ثابت مجهول.Kضعيف
3805 - | Zفي الزوائد إسناده حسن. شبيب بن بشر مختلف فيهS [3805 - ش - (الذس أعطاه) أي أداه وفعل من الحمد. (أفضل مما أخذ) أي من النعمة.]Kحسن
3806 - | S [3806 - ش - (كلمتان خفيفتان) المراد الكلمة اللغوية أو العرفية لا النحوية. وخفتهما سهولتهما على اللسان. لقلة حروفها وحسن نظمهما. (ثقيلتان) ثقلهما في الميزان لعظم لفظهما قدرا عند الله(سبحان الله) معناها تنزيهه عن كل مالا يليق بجنابه العلي. وهو مصدر لفعل مقدر أي أسبح الله تسبيحا. (وبحمده) الواو للحال. بتقدير وأنا متلبس بحمده. وقيل للعطف. أي أنزهه وأتلبس بحمده وقيل زائدة. أي أسبحه متلبسا بحمده.]Kصحيح
3807 - | Zفي الزوائد إسناده حسن. وأبو سنان اسمه عيسى بن سنان الحنفي مختلف فيه.Kصحيح
3808 - | S [3808 - ش - (سبحان الله عدد خلقه) هو وما بعده منصوب بنزع الخافض. أي بعدد جميع مخلوقاته. وبمقدار رضا ذاته الشريفة. أي بمقدار يكون سببا لرضاه تعالى. وفيه إطلاق النفس عليه تعالى من غير مشاكلة. وبمقدار ثقل عرشه. وبمقدار زيادة كلماته. وقيل نصبها على الظرفية. بتقدير قدر. أي قدر عدد مخلوقاته وقدر رضا ذاته.]Kصحيح
3809 - | Zفي الزوائد إسناده صحيح. رجاله ثقات. وأخو عون اسمه عبيد الله بن عتبةS [3809 - ش - (من جلال الله) بيان للموصول المجرور. (ينعطفن) استئناف لبيان حال التسبيح وغيره. (دوي) هو ما يظهر من الصوت ويسمع عند شدته وبعده في الهواء شبيها بصوت النحل.]Kصحيح
3810 - | Zفي الزوائد في إسناده زكريا وهو ضعيفS [3810 - ش - (كبرت) بكسر الباء أي صرت كبيرة السن. (وبدنت) من البدانة بمعنى كثرة اللحم. (ملجم) اسم مفعول من ألجم الدابة إذا ألبسها اللجام. (مسرج) اسم مفعول من أسرج.]Kحسن
3811 - | Kصحيح
3812 - | Kصحيح
3813 - | Zفي الزوائد في إسناده عمر بن راشد قال فيه البخاري حديثه عن ابن أبي كثير مضطرب ليس بالقائمقال ابن حبان يضع الحديث لا يحل ذكره إلا على سبيل القدح فيه.Kضعيف
3814 - | S [3814 - ش - (إن كنا) كلمة إن مخففة من الثقيلة.]Kصحيح
3815 - | Zفي الزوائد إسناد حديث أبي هريرة صحيح رجاله ثقات.Kحسن صحيح
3816 - | Zفي الزوائد رواه النسائي في عمل اليوم والليلة عن إبراهيم بن يعقوب عن أبي نعيم عن مغيرة به.Kصحيح
3817 - | Zفي الزوائد في إسنداه أبو المغيرة البجلي مضطرب الحديث عن حذيفة. قاله الذهبي في الكاشفS [3817 - ش - (ذرب) أي فحش. (لا يعدوهم) يريد أنه كان مقصورا على الأهل.]Kضعيف
3818 - | Zفي الزوائد إسناده صحيح رجاله ثقات.Kصحيح
3819 - | S [3819 - ش - (من لزم الاستغفار) أي دوام عليه. (فرجا) أي خلاصا(مخرجا) أي طريقا يخرجه من كل عسير. (لا يحتسب) أي من حيث لا يرجو ولا يخطر بباله.]Kضعيف
3820 - | Zفي الزوائد على بن زيد وهو ضعيف.Kضعيف
3821 - | S [3821 - ش - (بقراب) أي بما يقارب ملأها. وهو مصدر قارب يقارب.]Kصحيح
3822 - | Kصحيح
3823 - | Kصحيح
3824 - | S [3824 - ش - (كنز من كنوز الجنة) جعلت الكلمة من كنوز الجنة باعتبار أن قائلها يملكها بسببها. وفي النهاية أي أجرها مدخر لقائلها والمتصف بها كما يدخر الكنز.]Kصحيح
3825 - | Zفي الزوائد إسناد حديث أبي ذر صحيح رجاله ثقات.Kصحيح
3826 - | Zفي الزوائد في إسناده مقال. وأبو زينب لم يسم. ولم أر من جرحه ولا من وثقه. وخالد بن سعيد هو ابن أبي مريم التيمي ذكره ابن حبان في الثقات. ومحمد بن معن الغفاري احتج به البخاري في صحيحه ويعقوب بن حميد مختلف فيه. ثم إن المصنف لم يخرج لأبي حازم بن حرملة هذا غير هذا الحديث. وليس له شيء في بقية الكتببسم الله الرحمن الرحيمKصحيح لغيره
3827 - | Kحسن
3828 - | Kصحيح
3829 - | S [3829 - ش - (ليس شيء أكرم من الدعاء) أكرم منصوب على أنه خبر ليس. وعلى الله بمعنى عنده.]Kحسن
3830 - | S [3830 - ش - (رب أعني) أي على الأعداء. (ولا تعن علي) أي لا تعن الأعداء علي. (وامكرلي) مكر الله إيقاع بلائه بأعدائه دون أوليائه. وقيل هو استدراج العبد بالطاعات فيتوهم أنها مقبولة وهي مردودة(رهابا لك) أي خوافا خاشعا. (مختبا) من الإخبات وهو الخشوع والتواضع(أواها) أي متضرعا وقيل بكاء. (منيبا) من الإنابة وهو الرجوع إلى الله بالتوبة(حوبتي) أي إثمي. (واسلل) أي انزع. (السخيمة) الحقد.]Kصحيح
3831 - | Kصحيح
3832 - | S [3832 - ش - (والعفاف) الكف عن المعاصي وعما لا ينبغي. (والغنى) اليسار. والمراد غنى القلب لاغنى اليد.]Kصحيح
3833 - | S [3833 - ش - (انفعني بما علمتني) أي في الأزمنة السابقة. (وعلمني ما ينفعني) أي فيما بعد. (وزدني علما) أي نافعا. بقرينة السياق.]Kصحيح دون والحمد
3834 - | Zفي الزوائد مدار الحديث على يزيد الرقاشي وهو ضعيفS [3834 - ش - (إن القلوب بين أصبعين) كناية عن سرعة تقلبها.]Kصحيح
3835 - | Kصحيح
3836 - | S [3836 - ش - (لا تفعلوا كما يفعل أهل فارس بعظمائها) يدل على كراهة القيام للداخل.]Kضعيف
3837 - | Kصحيح
3838 - | Kصحيح
3839 - | Kصحيح
3840 - | Zفي الزوائد إسناده حسن. لأن حميد الخراط مختلف فيه. وكذلك بكر بن سليم.Kحسن صحيح
3841 - | Kصحيح
3842 - | Kصحيح
3843 - | Zفي الزوائد إسناده صحيح. رجاله ثقات. وأسامة بن زيد هذا هو الليثي المزني احتج به مسلم.Kحسن
3844 - | S [3844 - ش - (وأرذل العمر) هو غاية الكبر التي يصير المرء فيها كالصغير.]Kضعيف
3845 - | Kصحيح
3846 - | Zفي الزوائد في إسناده مقال. وأم كلثوم هذه لم أر من تكلم فيها. وعدها جماعة في الصحابة. وفيه نظر لأنها ولدت بعد موت أبي بكر. وباقي رجال الإسناد ثقات.Kصحيح
3847 - | Zفي الزوائد إسناده صحيح رجاله ثقاتS [3847 - ش - (ما أحسن دندنتك) أي كلامك الخفي.]Kصحيح
3848 - | Kضعيف
3849 - | Zوفي الزوائد قلت رواه النسائي. في اليوم والليلة من طرق منها عن يحيى بن عثمان عن عمر بن عبد الواحد وعن محمود بن خالد عن الوليد كلاهما عن عبد الرحمن بن يزيد عن جابر عن سليم بن عامر.Kصحيح
3850 - | Kصحيح
3851 - | Zفي الزوائد إسناد حديث أبي هريرة صحيح. رجاله ثقات. والعلاء بن زياد ذكره ابن حبان في الثقات. ولم أر من تكلم فيه. وباقي رجال الإسناد لا يسأل عن حالهم لشهرتهم.Kصحيح
3852 - | Zفي الزوائد إسناده صحيح رجاله ثقاتS [3852 - ش - (يرحمنا الله وأخا عاد) المراد بأخي عاد هو هود عليه السلام.]Kضعيف
3853 - | Kصحيح
3854 - | Kصحيح
3855 - | Kحسن
3856 - | Kحسن
3856 - | Zفي الزوائد رجال إسناده ثقات. وهو موقوف. وأما إسناد المرفوع ففيه غيلان لم أر لأحد فيه كلامالابجرح ولا توثيق. وباقي رجال الإسناد ثقات
3857 - | Kصحيح
3858 - | Kحسن صحيح
3859 - | Zفي الزوائد في إسناده مقال. وعبد الله بن عكيم وثقه الخطيب وعده من الصحابة. ولا يصح له سماع. وأبو شيبة ولم أر من جرحه ولامن وثقه. وباقي رجال الإسناد ثقاتS [3859 - ش - (فتنحيت) أي فتبعدت. (فاستضحك) كأن السين للمبالغة.]Kضعيف
3860 - | S [3860 - ش - (من أحصاها دخل الجنة) قال الخطابي الإحصاء في هذا يحصل بوجوه أحدها إن يعدها حتى يستوفيها. يريد أنه لا يقتصر على بعضها لكن يدعو الله بها كلها ويثني عليه بجميعها فيستوجب الوعد عليها من الثواب الثاني المراد بالإحصاء الإطاقة. لقوله تعالى - علم أن لن تحصوه - والمعنى من أطاق القيام بحق هذه الأسماء والعمل بمقتضاها. وهو أن يعتبر معانيها فيلزم نفيه بواجبها. الثالث المراد الإحاطة بمعانيها. من قول العرب فلان ذو إحصاء أي ذو معرفة.]Kحسن صحيح
3861 - | Zفي الزوائد لم يخرج أحد من الأئمة الستة عدد أسماء الله الحسنى من هذا الوجه ولامن غيره غير ابن ماجة والترمذي. مع تقديم وتأخير. وطريق الترمذي أصح شيء في البابقال وإسناده طريق ابن ماجة ضعيف لضعف عبد الملك بن محمدS [3861 - ش - (إنه وتر يحب الوتر) الوتر بفتح الواو وكسرها الفرد. والمعنى يحب من الإذكار والطاعات ما هو على عدد الوتر ويثيب عليه لاشتماله على الفردية.]Kصحيح دون عد الأسماء
3862 - | Kحسن
3863 - | Zفي الزوائد في إسناده مقال. لأن جميع من ذكر في إسناده من النساء لم أر من جرحهن ولا من وثقهن. وأبو سلمة هو التبوذكي واسمه موسى بن إسماعيل ثقة. وكذا الراوي عنهS [3863 - ش - (قد يفضي إلى الحجاب) من الإفضاء. والمراد بالحجاب محل الإجابة.]Kضعيف
3864 - | Kصحيح
3865 - | S [3865 - ش - (حيي) فعيل من الحياء أي لا يترك العطاء. كصاحب الحياء يمنعه من ترك العطاء. ولا يخفي أن الكرم والعطاء إذا اجتمعا يكون صاحبهما كمن يستحيل عليه أن يترك العطاء من السائلين والضعفاء. (صفرا) يقال هو صفر اليدين ليس فيهما شيء. مأخوذ من الصفير وهو الصوت الخالي عن الحروف.]Kصحيح
3866 - | Kضعيف
3867 - | S [3867 - ش - (عدل رقبة) بكسر العين بمعنى المثل. قال الفراء العدل بالفتح ماعادل الشيء من غير جنسه. والعدل بالكسر المثل. وعلى هذا فالفتح ههنا أظهر.]Kصحيح
3868 - | Kصحيح
3869 - | S [3869 - ش - (في صباح كل يوم ومساء كل ليلة) أي بعد طلوع الفجر وبعد غروب الشمس(ما تنظر إلي) أي ما سبب نظرك إلي. (ليمضى) من الإمضاء.]Kصحيح
3870 - | Zفي الزوائد إسناده صحيح. رجاله ثقات.Kضعيف
3871 - | S [3871 - ش - (العفو والعافية) العفو محو الذنوب. والعافية السلامة من الأسقام والبلايا. وقيل عدم الابتلاء بها والصبر عليها والرضا بقضائها. (العورات) العيوب. (والروعات) الفزعات. ومعنى آمن روعاتي أي ادفع عني خوفا يقلقني ويزعجني. وكأن التقدير. وآمني من روعاتي. على قياس - وآمنهم من خوف -(احفطني من بين يدي) أي ادفع عني البلاء من الجهات الست. لأن كل بليه تصل الإنسان إنما تصله من إحداهن. وبالغ في جهة السفل لرداءة الآفة منها. (والاغتيال) الأخذ غيلة(والخسف) من خسف الله بفلان أي غيبته الأرض فيها.]Kصحيح
3872 - | S [3872 - ش - (وأنا على عهدك) أي مقيم على ميثاقك الذي أخذت بقولك - ألست بربكم - أو على ماعاهدتني وأمرتني به في كتابك من الإيمان بك ونبيك وكتابك. (ووعدك) أي مديم على وعدك الذي لا يخلف الذي وعدت به أهل الإيكان بك وبكتابك ونبيك صلى الله عليه وسلم ومتمسك به وراج رحمتك بمقتضاه(ما استطعت) أي قدر استطاعتي. ف - ما مصدرية. (أبوء) أي أعترف.]Kصحيح
3873 - | S [3873 - ش - (فالق الحب والنوى) أي شاقهما بإخراج النبات والنخل منهما.]Kصحيح
3874 - | S [3874 - ش - (داخلة إزارة) أي الطرف الذي يلي الجسد. (ماخلفه) أي جاء عقبه على الفراش. إذ عادتهم كانت ترك الفراش في محله في النهار. أو هذا إذا قام وسط الليل ثم رجع إلى فراشه. قال في النهاية لعل هامة دبت فصارت فيه بعده.]Kصحيح
3875 - | Kصحيح
3876 - | S [ش (رغبة ورهبة) علة لكل من المذكورات. (إليك) متعلق بالرغبة. ومتعلق الرهبة محذوف أي منك(لاملجأ ولامنجأ) الملجأ مهموز. والمنجا مقصور. ولكن قد يهمز للازدواج. وقد يجعل الأول مقصورا له أيضا. أي لامهرب ولاملاذ ولاخلاص من عقوبتك إلا برحمتك. (على الفطرة) أي دين الإسلام.]Kصحيح
3877 - | Zفي الزوائد رجال إسناده ثقات. إلا أنه منقطع. أبو عبيدة لم يسمع من أبيه شيئا.Kصحيح
3878 - | S [3878 - ش - (من تعار) بتشديد الراء أي استقيظ.]Kصحيح
3879 - | S [3879 - ش - (الهوي) أي ساعة من الليل. قيل هو الحين الطويل من الزمان وقيل هو مختص بالليل.]Kصحيح
3880 - | S [39880 - ش - (إذا انتبه) أي استيقظ.]Kصحيح
3881 - | Kصحيح
3882 - | S [2882 - ش - (الكرب) غم يأخذ النفس. (الله الله ربي) الأول مبتدأ الثاني تأكيد له وربي خبر وجملة لا أشرك خبر بعد خبر. ومعنى لا أشرك به أي في العبادة أو إثبات الألوهية.]Kصحيح
3883 - | Kصحيح
3884 - | Kصحيح
